id;platform;category;caption;hashtag;url;text_for_tfidf;likes;views;comments;engagement_rate;is_popular;shares;saves
C4Hnxw-Pjfr;Instagram;Belajar IT;"Nanti kita bahas lebih dalam di kelas Coding Subuh.
Buat Kamu yang belum daftar kelasnya, buruan daftar.. karena pendaftaran akan segera kita tutup minggu ini.

See you di kelas.

--
#javascript #codingsubuh #coding #programming";javascript, codingsubuh, coding, programming;https://www.instagram.com/p/C4Hnxw-Pjfr/ ;bahas kelas coding subuh daftar kelas buru daftar penda tara tutup minggu see you kelas javascript coding subuh coding programming javascript coding subuh coding programming;384;8059;4;4.81;0;;
DSHciI7EwBt;Instagram;Belajar IT;Benerr banget nih saran dari @gemaantikahr jangan jadi programmer yang iyain semua task;;https://www.instagram.com/p/DSHciI7EwBt/;bene banget nih saran gema antik programmer iya task;222;1315;0;16.88;1;;
DS4mxOFkWKi;Instagram;Belajar IT;"Ngoding Frontend Gak Pake Ribet! 

Mau coba-coba HTML, CSS, JS tapi males install tools? 
Atau lagi stuck cari inspirasi desain? Cobain deh CodePen.io 

Wajib banget buat jadi playground harian kalian. 
Gratis dan powerful! 

Coba kasitau di bawah, ada yang udah pernah pake?

#codepen #frontenddeveloper #webdesign #belajarcoding #css";codepen, frontenddeveloper, webdesign, belajarcoding, css;https://www.instagram.com/p/DS4mxOFkWKi/;ngoding frontend pakai ribe coba coba html css male install tools stuck cari inspirasi desain coba deh code pen wajib banget playground gratis powerful coba kasi tau pakai code pen frontend developer web design ajar coding css code pen frontend developer web design ajar coding css;2117;14676;10;14.49;1;;
DI_D5sHzRvo;Instagram;Belajar IT;"Pengen Punya Aplikasi Keren Tapi Males Ngoding dari Awal?
Tenang, Dunia Coding punya solusinya! ✨

Cukup siapin mulai dari 100 ribu aja, kamu udah bisa dapetin source code siap pakai, lengkap sama video panduan dan desain modern. 
Cocok banget buat:

✅ Belajar coding lebih cepat
✅ Ngerjain tugas kampus
✅ Nambah portofolio buat kerja atau freelance
Buruan, komen “source code” sekarang!

Promo cuma untuk 50 pembeli tercepat!";;https://www.instagram.com/p/DI_D5sHzRvo/;pen gen aplikasi keren male ngoding tenang dunia coding solusi ribu dap tin source code pakai lengkap video pandu desain modern cocok banget ajar coding cepat ger ain tugas kampus nam bah portofolio kerja freelance buru kom source code pro embel ter cepat;45;571;5;8.76;0;;
DSAK5lVCdmf;Instagram;Belajar IT;"Hi semua Ichsan here! #VoiceInSilence akan hadir di event-nya @duniacoding yang berjudul The Future is Wearable! See you guys!

 09 Desember 2025 — 19.30 WIB
 Live via Google Meet
 GRATIS

Daftar sekarang di duniacoding.id/event";VoiceInSilence;https://www.instagram.com/p/DSAK5lVCdmf/;ich san here voice silence hadir event dunia coding ber judul the future wearable see you guy desember live via goo meet gratis daftar dunia coding event voice silence;353;4100;4;8.71;0;;
DEPhUxvTrfJ;Instagram;Belajar IT;Bener banget nih apa yang disampein sama kak @nabila_rozan_ kalau mentor tu punya peran penting di karir kita loh. Yuk yang mau sharing sama kak Nabila langsung aja komen “Mau dong” dikolom komen yaps;;https://www.instagram.com/p/DEPhUxvTrfJ/;bene banget nih dis ampe kak nabi zan mentor peran karir loh ayo sha ring kak nabi langsung kom dik kom yap;164;2086;5;8.1;0;;
C6nOZAxrZ4I;Instagram;Belajar IT;"PoV ketika kamu baru pertama kali belajar coding. Nulis hello world terasa membanggakan

#coding #programming.";coding, programming.;https://www.instagram.com/p/C6nOZAxrZ4I/;kali ajar coding nul hello world teras mem bangga coding programming coding programming;7717;58301;90;13.39;1;;
DSR6kWKD_i_;Instagram;Belajar IT;"Blind rating FRAMEWORK paling HITS!‍

Ada yang overrated, ada yang underrated. Kira-kira jagoan kalian dapet rank berapa, atau malah ga ada di listnya?

Coba komen dibawah 

#blindrating #coding #programming #bahasapemrograman #programer #developer";blindrating, coding, programming, bahasapemrograman, programer, developer;https://www.instagram.com/p/DSR6kWKD_i_/;blind rating framework hit overrate underrate jago rank list coba kom dib awah blind rating coding programming bahasa rog rama program developer blind rating coding programming bahasa rog rama program developer;3443;24868;54;14.06;1;;
DSroqlvEY2i;Instagram;Belajar IT;"Mau bikin animasi web yang smooth dan kompleks? 

Pakai Anime.js aja!

Library ini ringan banget, API-nya gampang dimengerti, dan fiturnya lengkap (timeline, staggering, easing). 

Bikin portofolio kalian langsung keliatan PRO, save reels ini buat referensi ngoding nanti!

#animejs #webdevelopment #javascript #frontendtips #codinglife wpu";animejs, webdevelopment, javascript, frontendtips, codinglife;https://www.instagram.com/p/DSroqlvEY2i/;animasi web smooth kompleks pakai anime library ringan banget api mudah dime ger fit urn lengkap time line staggering easing portofolio langsung keli pro save reel referensi ngoding anime web development javascript frontend tips coding life anime web development javascript frontend tips coding life;1878;12897;11;14.65;1;;
DShjIAZkuGO;Instagram;Belajar IT;"Jokes bapack-bapack yang paling bisa diterima,
Karena apa?
Karena FAKTA

Biar komplit mimin mau tambahin deh : 
Saya admin WPU Course, 
Of korss saya tau kapan bakal ada diskon lagi!

Coba deh kalian tebak di kolom komentar

#wpucourse #belajarcoding #wpu #coding #webdevelopment #developerlife";wpucourse, belajarcoding, wpu, coding, webdevelopment, developerlife;https://www.instagram.com/p/DShjIAZkuGO/;joke bapa bapa ter fakta biar kom lit admin deh admin course kor tau diskon coba deh tebak kolom komentar course ajar coding coding web development developer life course ajar coding coding web development developer life;438;4891;7;9.1;0;;
